ID_participant	ID_partner	ID_group	ID_dyad	ID_gesture	t0	t1	size.rh	size.lh	size	traj.rh	traj.lh	traj	ampl_y.rh	ampl_y.lh	ampl_y	ampl_x.rh	ampl_x.lh	ampl_x	peak_velo.rh	peak_velo.lh	peak_velo	apex.rh	apex.lh	hand	nonref	icon	metaph	deixis	conv	phrase_position	phrase_ID	label_participant	label_partner	condition
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_17	244895	246436	0.349	0.016	0.349	1.699	0.488	1.699	0.293	-0.077	0.293	1.095	0.322	1.095	2.093	0.567	2.093	245540	244900	right	no	no	yes	abstract	no	no	phrase_14	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_18	248261	249523	0.115	0.005	0.115	1.136	0.331	1.136	0.029	-0.047	0.029	0.863	0.25	0.863	1.342	0.316	1.342	248420	224120	both	no	no	yes	no	no	no	phrase_15	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_19	253331	254645	0.188	0.211	0.211	1.517	1.594	1.594	0.368	0.185	0.368	0.778	0.335	0.778	1.934	2.301	2.301	253800	253860	both	no	no	yes	no	no	no	phrase_16	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_2	74653	76724	0.225	0.053	0.225	1.552	0.893	1.552	0.115	0.03	0.115	0.676	0.132	0.676	0.866	0.495	0.866	75120	36500	both	no	no	yes	no	no	no	phrase_2	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_20	256726	257767	0.133	0.005	0.133	1.333	0.397	1.333	0.115	-0.07	0.115	0.919	0.245	0.919	1.624	0.345	1.624	257020	226420	both	no	no	no	abstract	no	no	phrase_17	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_21	258104	260505	0.177	0.015	0.177	2.461	0.714	2.461	0.205	-0.032	0.205	0.947	0.259	0.947	1.758	0.474	1.758	258740	229780	both	no	no	yes	no	no	no	phrase_18	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_22	268215	269622	0.069	0.008	0.069	0.883	0.293	0.883	0.077	-0.072	0.077	0.777	0.293	0.777	1.081	0.639	1.081	268360	268220	both	no	no	yes	no	no	no	phrase_19	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_3	78683	80010	0.082	0.012	0.082	1.099	0.509	1.099	0.038	-0.003	0.038	0.595	0.079	0.595	0.981	0.491	0.981	78840	50440	both	no	no	yes	no	no	first	phrase_3	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_4	80010	82163	0.165	0.302	0.302	2.113	2.642	2.642	0.188	0.198	0.198	0.73	0.551	0.73	1.391	2.255	2.255	80560	80500	both	no	no	yes	no	no	last	phrase_3	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_5	84234	85061	0.051	0.011	0.051	0.74	0.383	0.74	-0.067	-0.042	-0.067	0.73	0.248	0.73	1.044	0.363	1.044	84360	98860	both	yes	no	no	no	no	no	phrase_4	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_6	93571	95265	0.188	0.088	0.188	1.925	1.395	1.925	0.22	0.147	0.22	0.787	0.258	0.787	1.207	0.793	1.207	94360	95220	both	no	no	yes	no	no	no	phrase_5	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_7	111051	113173	0.01	0.006	0.006	0.85	0.565	0.565	0.007	0.098	0.098	0.462	0.205	0.205	0.715	0.468	0.468	112240	112340	left	no	no	yes	no	no	no	phrase_6	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_8	164608	165621	0.049	0.529	0.529	0.682	2.154	2.154	-0.016	0.151	0.151	0.488	0.852	0.852	0.566	2.118	2.118	165000	164620	left	no	no	no	abstract	no	no	phrase_7	L1	L1	L1-L1
0510_1700_A	0510_1700_C	0510_1700	0510_1700_CA	sem_9	170691	173773	2.112	2.328	2.328	6.569	6.796	6.796	0.853	0.659	0.853	1.92	2.012	2.012	3.968	4.055	4.055	172400	172400	both	no	yes	no	no	no	no	phrase_8	L1	L1	L1-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_1	10843	11667	0.01	0.129	0.129	0.334	1.485	1.485	-0.198	0.466	0.466	0.227	0.362	0.362	0.555	2.99	2.99	11320	11140	left	yes	no	no	no	no	no	phrase_1	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_10	109347	110045	0.002	0.135	0.135	0.284	0.912	0.912	-0.245	-0.023	-0.023	0.224	0.739	0.739	0.285	1.576	1.576	90540	109800	left	no	no	no	abstract	no	first	phrase_10	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_11	110045	110548	0.007	0.546	0.546	0.299	1.843	1.843	-0.214	0.504	0.504	0.244	0.745	0.745	0.421	3.477	3.477	110360	110280	left	no	no	no	abstract	no	middle	phrase_10	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_12	110548	111288	0.008	0.69	0.69	0.475	3.331	3.331	-0.226	0.991	0.991	0.233	0.326	0.326	0.476	4.167	4.167	110820	97560	left	yes	no	no	no	no	middle	phrase_10	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_13	111288	112270	0.007	0.67	0.67	0.318	1.896	1.896	-0.228	0.505	0.505	0.243	0.717	0.717	0.354	2.852	2.852	111700	111760	left	no	no	yes	no	no	last	phrase_10	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_14	117320	117996	0.012	0.118	0.118	0.464	1.098	1.098	-0.195	-0.023	-0.023	0.258	0.644	0.644	0.593	1.907	1.907	117540	117780	left	yes	no	no	no	no	no	phrase_11	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_15	121377	121854	0.011	0.006	0.011	0.325	0.324	0.325	-0.246	-0.185	-0.246	0.242	0.319	0.319	0.351	0.301	0.351	121600	121820	both	yes	no	no	no	no	no	phrase_12	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_16	149141	149995	0.03	0.178	0.178	0.596	1.453	1.453	-0.153	0.186	0.186	0.286	0.641	0.641	0.674	2.096	2.096	149340	149580	left	no	no	yes	no	no	no	phrase_13	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_17	150636	151580	0.071	0.238	0.238	0.838	1.492	1.492	-0.066	0.223	0.223	0.379	0.722	0.722	1.24	2.261	2.261	150760	151120	both	no	no	yes	no	no	no	phrase_14	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_18	156702	157457	0.051	0.313	0.313	0.657	1.126	1.126	-0.079	0.424	0.424	0.37	0.681	0.681	1.24	2.756	2.756	156720	156980	both	no	no	yes	no	no	no	phrase_15	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_19	164250	164915	0.008	0.193	0.193	0.255	1.191	1.191	-0.25	0.357	0.357	0.162	0.595	0.595	0.387	2.956	2.956	164640	164420	left	yes	no	no	no	no	no	phrase_16	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_2	15019	16099	0.008	0.275	0.275	0.538	1.974	1.974	-0.194	0.394	0.394	0.226	0.526	0.526	0.654	2.616	2.616	15520	15300	left	no	no	no	abstract	no	no	phrase_2	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_20	176759	177740	0.116	0.554	0.554	1.033	1.993	1.993	0.045	0.556	0.556	0.389	0.955	0.955	1.861	3.721	3.721	176760	177160	both	no	no	yes	no	no	no	phrase_17	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_21	198825	199292	0.011	0.012	0.012	0.368	0.494	0.494	-0.197	-0.155	-0.197	0.19	0.457	0.457	0.582	0.958	0.958	199000	199020	both	yes	no	no	no	no	no	phrase_18	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_22	206750	207738	0.013	0.626	0.626	0.467	2.44	2.44	-0.186	0.446	0.446	0.181	1.213	1.213	0.512	4.469	4.469	207080	207300	left	no	no	no	abstract	no	no	phrase_19	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_23	208190	209273	0.004	0.349	0.349	0.234	1.88	1.88	-0.179	0.558	0.558	0.149	0.758	0.758	0.47	3.189	3.189	208320	208720	left	no	no	yes	no	no	no	phrase_20	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_24	211130	212369	0.004	0.206	0.206	0.298	2.07	2.07	-0.229	0.601	0.601	0.136	0.495	0.495	0.591	3.654	3.654	212000	211480	left	no	no	no	abstract	no	no	phrase_21	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_25	213428	214482	0.002	0.113	0.113	0.173	1.114	1.114	-0.222	0.127	0.127	0.134	0.712	0.712	0.297	1.613	1.613	214360	213440	left	no	no	yes	no	no	no	phrase_22	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_26	215604	216453	0.006	0.56	0.56	0.203	1.45	1.45	-0.194	0.921	0.921	0.159	0.3	0.3	0.572	3.161	3.161	216160	215620	left	no	yes	no	no	no	no	phrase_23	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_27	219360	220959	0.003	0.778	0.778	0.21	4.287	4.287	-0.253	0.643	0.643	0.136	0.655	0.655	0.519	4.076	4.076	219740	219980	left	no	no	yes	no	no	no	phrase_24	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_28	229494	230174	0.003	0.325	0.325	0.199	1.607	1.607	-0.291	0.308	0.308	0.213	0.832	0.832	0.574	3.283	3.283	229680	229820	left	yes	no	no	no	no	no	phrase_25	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_29	235720	237255	0.007	0.266	0.266	0.339	2.157	2.157	-0.211	0.538	0.538	0.176	0.641	0.641	0.465	2.276	2.276	237080	236780	left	no	no	yes	no	no	first	phrase_26	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_3	25810	26854	0.006	0.555	0.555	0.267	2.434	2.434	-0.234	0.563	0.563	0.241	0.441	0.441	0.57	3.598	3.598	26420	26420	left	no	yes	no	no	no	no	phrase_3	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_30	237255	237936	0.003	0.073	0.073	0.186	0.539	0.539	-0.225	0.042	0.042	0.172	0.58	0.58	0.363	1.303	1.303	237320	237920	left	no	no	no	abstract	no	last	phrase_26	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_31	245094	246635	0.005	0.377	0.377	0.283	1.372	1.372	-0.234	0.323	0.323	0.2	0.887	0.887	0.411	2.564	2.564	245900	245860	left	no	no	no	abstract	no	first	phrase_27	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_32	246635	247608	0.004	0.022	0.022	0.185	0.58	0.58	-0.244	0.501	0.501	0.185	0.473	0.473	0.483	1.437	1.437	246840	246960	left	no	no	no	abstract	no	middle	phrase_27	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_33	247608	248858	0.147	0.509	0.509	1.195	2.122	2.122	0.126	0.732	0.732	0.397	0.815	0.815	1.856	2.508	2.508	247660	248140	both	no	no	yes	no	no	last	phrase_27	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_34	249827	250663	0.001	0.294	0.294	0.107	0.983	0.983	-0.248	0.464	0.464	0.1	0.71	0.71	0.32	3.212	3.212	249900	250400	left	no	no	yes	abstract	no	first	phrase_28	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_35	250668	252069	0.001	0.349	0.349	0.135	1.023	1.023	-0.26	0.407	0.407	0.084	0.77	0.77	0.209	2.333	2.333	251960	250680	left	yes	no	no	no	no	middle	phrase_28	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_36	252321	253416	0.013	0.277	0.277	0.42	1.57	1.57	-0.101	0.327	0.327	0.142	0.769	0.769	0.893	2.925	2.925	252400	252760	both	no	no	yes	no	no	last	phrase_28	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_37	254071	255000	0.053	0.125	0.125	0.77	1.058	1.058	0.066	0.114	0.114	0.21	0.658	0.658	1.29	1.993	1.993	254080	254980	both	no	no	yes	no	no	no	phrase_29	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_4	29007	29809	0.007	0.195	0.195	0.348	1.586	1.586	-0.194	0.44	0.44	0.229	0.443	0.443	0.539	2.67	2.67	29220	29220	left	no	no	no	abstract	no	no	phrase_4	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_5	42347	43374	0.023	0.474	0.474	0.747	2.293	2.293	-0.083	0.526	0.526	0.252	0.739	0.739	0.726	3.014	3.014	42540	42860	left	no	no	yes	no	no	no	phrase_5	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_6	49209	50255	0.011	0.494	0.494	0.452	2.842	2.842	-0.154	0.938	0.938	0.231	0.594	0.594	0.362	4.118	4.118	49360	49740	left	no	yes	no	concrete	no	no	phrase_6	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_7	51423	52446	0.005	0.543	0.543	0.381	2.569	2.569	-0.177	0.926	0.926	0.238	0.656	0.656	0.485	4.058	4.058	52200	51920	left	no	yes	no	concrete	no	no	phrase_7	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_8	83507	84431	0.012	0.53	0.53	0.497	2.442	2.442	-0.153	0.81	0.81	0.232	0.729	0.729	0.517	4.058	4.058	83980	83860	left	no	no	yes	no	no	no	phrase_8	L2	L1	L2-L1
0510_1700_B	0510_1700_A	0510_1700	0510_1700_AB	sem_9	92388	93358	0.009	0.628	0.628	0.357	2.565	2.565	-0.179	0.774	0.774	0.252	0.834	0.834	0.517	4.103	4.103	92640	92840	left	no	no	yes	no	no	no	phrase_9	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_1	809	1773	0.201	0.225	0.225	1.379	1.62	1.62	0.189	0.375	0.375	0.399	0.59	0.59	2.706	3.403	3.403	1260	1140	both	no	no	yes	no	no	no	phrase_1	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_10	55263	55707	0.02	0.019	0.02	0.546	0.443	0.546	-0.189	-0.193	-0.189	0.196	0.372	0.196	1.114	0.431	1.114	55680	55700	right	yes	no	no	no	no	no	phrase_8	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_11	56568	57663	0.781	0.343	0.781	2.373	3.01	2.373	0.739	1.002	0.739	0.635	0.473	0.635	3.699	3.837	3.699	57300	158360	right	no	no	yes	abstract	no	no	phrase_9	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_12	60768	61694	0.751	0.345	0.751	2.203	1.999	2.203	0.719	0.432	0.719	0.754	0.72	0.754	2.658	2.153	2.658	61360	61360	both	no	no	yes	no	no	no	phrase_10	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_13	63168	64631	0.832	0.555	0.832	2.595	2.155	2.595	0.587	0.498	0.587	0.946	0.992	0.992	3.682	3.143	3.682	63820	63780	both	no	yes	no	abstract	no	no	phrase_11	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_14	67126	68890	0.659	0.006	0.659	1.932	0.403	1.932	0.906	-0.178	0.906	0.504	0.258	0.504	4.023	0.255	4.023	67380	162860	right	yes	no	no	no	no	first	phrase_12	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_15	68890	71210	0.601	0.185	0.601	2.317	2.503	2.317	0.402	0.872	0.402	0.766	0.357	0.766	1.424	3.474	1.424	69380	164800	right	no	no	yes	abstract	no	last	phrase_12	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_16	71636	72600	0.4	0.01	0.4	1.495	0.401	1.495	0.798	-0.134	0.798	0.377	0.292	0.377	3.122	0.6	3.122	71720	170980	right	yes	no	no	no	no	no	phrase_13	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_17	73631	74263	0.043	0.178	0.178	0.918	2.045	2.045	-0.16	0.377	0.377	0.269	0.484	0.484	0.47	1.908	1.908	74260	74260	left	no	no	yes	no	no	first	phrase_14	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_18	74263	75673	0.548	0.689	0.689	2.53	2.32	2.53	0.292	0.601	0.601	0.901	0.968	0.968	3.329	2.803	3.329	74900	74960	both	no	no	yes	no	no	last	phrase_14	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_19	76821	77884	0.457	0.608	0.608	2.504	2.88	2.88	0.733	0.642	0.642	0.494	0.841	0.841	4.493	2.886	2.886	178860	77880	left	no	no	yes	no	no	first	phrase_15	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_2	7833	9071	0.594	0.356	0.594	2.4	2.009	2.4	0.438	0.498	0.498	0.813	0.73	0.813	3.584	2.877	3.584	8480	8240	both	no	no	yes	no	no	first	phrase_2	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_20	77884	79850	0.791	0.892	0.892	2.838	1.956	2.838	0.397	0.648	0.648	1.112	1.169	1.169	3.24	2.994	3.24	78640	77980	both	no	no	yes	no	no	middle	phrase_15	L2	L1	L2-L1
0510_1700_B	0510_1700_C	0510_1700	0510_1700_CB	sem_21	79850	81031	0.522	1.782	1.782	1.642	5.168	5.168	0.261	1.093	1.093	0.764	0.782	0.782	2.988	4.07	4.07	80560	80560	both	no	no	yes	no	no	last	phrase_15	L2	L1	L2-L1
