word	ID_participant	ID_partner	Lemma	POS
hier	0510_1700_A	0510_1700_B	hier	ADV
in	0510_1700_B	0510_1700_A	in	ADP
Limburg	0510_1700_B	0510_1700_A	Limburg	PROPN
dus	0510_1700_B	0510_1700_A	dus	ADV
de	0510_1700_B	0510_1700_A	de	DET
Belgische	0510_1700_B	0510_1700_A	Belgisch	ADJ
helft	0510_1700_B	0510_1700_A	helft	NOUN
van	0510_1700_B	0510_1700_A	van	ADP
Limburg	0510_1700_B	0510_1700_A	Limburg	PROPN
NA	0510_1700_A	0510_1700_B	NA	ADV
NA	0510_1700_A	0510_1700_B	NA	ADV
en	0510_1700_B	0510_1700_A	en	CCONJ
bent	0510_1700_B	0510_1700_A	zijn	AUX
u	0510_1700_B	0510_1700_A	u	PRON
lang	0510_1700_B	0510_1700_A	lang	ADJ
verhuisd	0510_1700_B	0510_1700_A	verhuizen	VERB
hier	0510_1700_B	0510_1700_A	hier	ADV
in	0510_1700_B	0510_1700_A	in	ADP
in	0510_1700_B	0510_1700_A	in	ADP
in	0510_1700_B	0510_1700_A	in	ADP
Leuven	0510_1700_B	0510_1700_A	Leuven	PROPN
of	0510_1700_B	0510_1700_A	of	CCONJ
inderdaad	0510_1700_A	0510_1700_B	inderdaad	ADV
ik	0510_1700_A	0510_1700_B	ik	PRON
studeer	0510_1700_A	0510_1700_B	studeer	NOUN
hier	0510_1700_A	0510_1700_B	hier	ADV
ik	0510_1700_A	0510_1700_B	ik	PRON
heb	0510_1700_A	0510_1700_B	hebben	VERB
hier	0510_1700_A	0510_1700_B	hier	ADV
gestudeerd	0510_1700_A	0510_1700_B	studeren	VERB
NA	0510_1700_B	0510_1700_A	NA	ADV
ik	0510_1700_A	0510_1700_B	ik	PRON
heb	0510_1700_A	0510_1700_B	hebben	VERB
slavistiek	0510_1700_A	0510_1700_B	slavistiek	NOUN
en	0510_1700_A	0510_1700_B	en	CCONJ
Oost-Europakunde	0510_1700_A	0510_1700_B	oost-Europakunde	NOUN
gedaan	0510_1700_A	0510_1700_B	doen	VERB
NA	0510_1700_B	0510_1700_A	NA	ADV
waarom	0510_1700_B	0510_1700_A	waarom	ADV
heb	0510_1700_B	0510_1700_A	hebben	VERB
je	0510_1700_B	0510_1700_A	je	PRON
voor	0510_1700_B	0510_1700_A	voor	ADP
slavisch	0510_1700_B	0510_1700_A	slavisch	ADJ
studies	0510_1700_B	0510_1700_A	studie	NOUN
gekozen	0510_1700_B	0510_1700_A	kiezen	VERB
NA	0510_1700_A	0510_1700_B	NA	ADV
mijn	0510_1700_A	0510_1700_B	mijn	PRON
mijn	0510_1700_A	0510_1700_B	mijn	PRON
ouders	0510_1700_A	0510_1700_B	ouder	NOUN
komen	0510_1700_A	0510_1700_B	komen	VERB
uit	0510_1700_A	0510_1700_B	uit	ADP
Polen	0510_1700_A	0510_1700_B	Polen	PROPN
NA	0510_1700_B	0510_1700_A	NA	ADV
mijn	0510_1700_A	0510_1700_B	mijn	PRON
mama	0510_1700_A	0510_1700_B	mama	NOUN
misschien	0510_1700_B	0510_1700_A	misschien	ADV
is	0510_1700_B	0510_1700_A	zijn	AUX
dat	0510_1700_B	0510_1700_A	dat	SCONJ
waarom	0510_1700_B	0510_1700_A	waarom	ADV
ik	0510_1700_B	0510_1700_A	ik	PRON
een	0510_1700_B	0510_1700_A	een	DET
accent	0510_1700_B	0510_1700_A	accent	NOUN
hoorde	0510_1700_B	0510_1700_A	horen	VERB
ik	0510_1700_A	0510_1700_B	ik	PRON
ben	0510_1700_A	0510_1700_B	zijn	AUX
hier	0510_1700_A	0510_1700_B	hier	ADV
wel	0510_1700_A	0510_1700_B	wel	ADV
misschien	0510_1700_B	0510_1700_A	misschien	ADV
dacht	0510_1700_B	0510_1700_A	denken	VERB
ik	0510_1700_B	0510_1700_A	ik	PRON
NA	0510_1700_A	0510_1700_B	NA	ADV
ik	0510_1700_A	0510_1700_B	ik	PRON
ben	0510_1700_A	0510_1700_B	zijn	AUX
wel	0510_1700_A	0510_1700_B	wel	ADV
hier	0510_1700_A	0510_1700_B	hier	ADV
geboren	0510_1700_A	0510_1700_B	geboren	VERB
NA	0510_1700_B	0510_1700_A	NA	ADV
maar	0510_1700_A	0510_1700_B	maar	CCONJ
misschien	0510_1700_A	0510_1700_B	misschien	ADV
van	0510_1700_A	0510_1700_B	van	ADP
thuis	0510_1700_A	0510_1700_B	thuis	ADV
uit	0510_1700_A	0510_1700_B	uit	ADP
dat	0510_1700_A	0510_1700_B	dat	SCONJ
kan	0510_1700_A	0510_1700_B	kunnen	AUX
wel	0510_1700_A	0510_1700_B	wel	ADV
en	0510_1700_B	0510_1700_A	en	CCONJ
vind	0510_1700_B	0510_1700_A	vinden	VERB
je	0510_1700_B	0510_1700_A	je	PRON
het	0510_1700_B	0510_1700_A	het	DET
wat	0510_1700_B	0510_1700_A	wat	PRON
leuk	0510_1700_B	0510_1700_A	leuk	ADJ
hier	0510_1700_B	0510_1700_A	hier	ADV
in	0510_1700_B	0510_1700_A	in	ADP
Belgi√´	0510_1700_B	0510_1700_A	Belgi√	PROPN
ik	0510_1700_A	0510_1700_B	ik	PRON
ik	0510_1700_A	0510_1700_B	ik	PRON
ben	0510_1700_A	0510_1700_B	zijn	AUX
hier	0510_1700_A	0510_1700_B	hier	ADV
heel	0510_1700_A	0510_1700_B	heel	ADJ
graag	0510_1700_A	0510_1700_B	graag	ADV
ik	0510_1700_A	0510_1700_B	ik	PRON
heb	0510_1700_A	0510_1700_B	hebben	VERB
hier	0510_1700_A	0510_1700_B	hier	ADV
allemaal	0510_1700_A	0510_1700_B	allemaal	ADV
vrienden	0510_1700_A	0510_1700_B	vriend	NOUN
en	0510_1700_A	0510_1700_B	en	CCONJ
heel	0510_1700_A	0510_1700_B	heel	ADJ
veel	0510_1700_A	0510_1700_B	veel	PRON
contacten	0510_1700_A	0510_1700_B	contact	NOUN
NA	0510_1700_A	0510_1700_B	NA	ADV
maar	0510_1700_A	0510_1700_B	maar	CCONJ
ik	0510_1700_A	0510_1700_B	ik	PRON
ga	0510_1700_A	0510_1700_B	gaan	VERB
ook	0510_1700_A	0510_1700_B	ook	ADV
heel	0510_1700_A	0510_1700_B	heel	ADJ
graag	0510_1700_A	0510_1700_B	graag	ADV
terug	0510_1700_A	0510_1700_B	terug	ADV
naar	0510_1700_A	0510_1700_B	naar	ADP
Polen	0510_1700_A	0510_1700_B	Polen	PROPN
ook	0510_1700_A	0510_1700_B	ook	ADV
voor	0510_1700_A	0510_1700_B	voor	ADP
mijn	0510_1700_A	0510_1700_B	mijn	PRON
vrienden	0510_1700_A	0510_1700_B	vriend	NOUN
te	0510_1700_A	0510_1700_B	te	ADP
zien	0510_1700_A	0510_1700_B	zien	VERB
voor	0510_1700_A	0510_1700_B	voor	ADP
mijn	0510_1700_A	0510_1700_B	mijn	PRON
familie	0510_1700_A	0510_1700_B	familie	NOUN
te	0510_1700_A	0510_1700_B	te	ADP
zien	0510_1700_A	0510_1700_B	zien	VERB
ben	0510_1700_B	0510_1700_A	zijn	AUX
je	0510_1700_B	0510_1700_A	je	PRON
wel	0510_1700_B	0510_1700_A	wel	ADV
eens	0510_1700_B	0510_1700_A	eens	ADV
geweest	0510_1700_B	0510_1700_A	zijn	AUX
zelf	0510_1700_B	0510_1700_A	zelf	ADV
ben	0510_1700_B	0510_1700_A	zijn	AUX
je	0510_1700_B	0510_1700_A	je	PRON
wel	0510_1700_B	0510_1700_A	wel	ADV
eens	0510_1700_B	0510_1700_A	eens	ADV
naar	0510_1700_B	0510_1700_A	naar	ADP
Polen	0510_1700_B	0510_1700_A	Polen	PROPN
geweest	0510_1700_B	0510_1700_A	zijn	AUX
bedoel	0510_1700_B	0510_1700_A	bedoelen	VERB
ik	0510_1700_B	0510_1700_A	ik	PRON
of	0510_1700_B	0510_1700_A	of	CCONJ
op	0510_1700_B	0510_1700_A	op	ADP
vakantie	0510_1700_B	0510_1700_A	vakantie	NOUN
ofzo	0510_1700_B	0510_1700_A	ofzo	PROPN
NA	0510_1700_A	0510_1700_B	NA	ADV
is	0510_1700_B	0510_1700_A	zijn	AUX
dat	0510_1700_B	0510_1700_A	dat	SCONJ
vaak	0510_1700_B	0510_1700_A	vaak	ADJ
of	0510_1700_B	0510_1700_A	of	CCONJ
gewoon	0510_1700_B	0510_1700_A	gewoon	ADJ
ik	0510_1700_A	0510_1700_B	ik	PRON
heb	0510_1700_A	0510_1700_B	hebben	VERB
ook	0510_1700_A	0510_1700_B	ook	ADV
een	0510_1700_A	0510_1700_B	een	DET
jaar	0510_1700_A	0510_1700_B	jaar	NOUN
gestudeerd	0510_1700_A	0510_1700_B	studeren	VERB
in	0510_1700_A	0510_1700_B	in	ADP
Polen	0510_1700_A	0510_1700_B	Polen	PROPN
misschien	0510_1700_B	0510_1700_A	misschien	ADV
had	0510_1700_B	0510_1700_A	hebben	VERB
ik	0510_1700_B	0510_1700_A	ik	PRON
dat	0510_1700_B	0510_1700_A	dat	SCONJ
niet	0510_1700_B	0510_1700_A	niet	ADV
gehoord	0510_1700_B	0510_1700_A	horen	VERB
dus	0510_1700_B	0510_1700_A	dus	ADV
NA	0510_1700_A	0510_1700_B	NA	ADV
in	0510_1700_A	0510_1700_B	in	ADP
Wroclaw	0510_1700_A	0510_1700_B	Wroclaw	PROPN
NA	0510_1700_B	0510_1700_A	NA	ADV
wat	0510_1700_B	0510_1700_A	wat	PRON
zegt	0510_1700_B	0510_1700_A	zeggen	VERB
Wroclaw	0510_1700_A	0510_1700_B	Wroclaw	PROPN
vrots	0510_1700_B	0510_1700_A	vrot	PROPN
wat	0510_1700_B	0510_1700_A	wat	PRON
in	0510_1700_A	0510_1700_B	in	ADP
het	0510_1700_A	0510_1700_B	het	DET
westen	0510_1700_A	0510_1700_B	westen	NOUN
van	0510_1700_A	0510_1700_B	van	ADP
Polen	0510_1700_A	0510_1700_B	Polen	PROPN
NA	0510_1700_B	0510_1700_A	NA	ADV
ik	0510_1700_B	0510_1700_A	ik	PRON
had	0510_1700_B	0510_1700_A	hebben	VERB
eigenlijk	0510_1700_B	0510_1700_A	eigenlijk	ADJ
niet	0510_1700_B	0510_1700_A	niet	ADV
kan	0510_1700_B	0510_1700_A	kunnen	AUX
verstaan	0510_1700_B	0510_1700_A	verstaan	VERB
dus	0510_1700_B	0510_1700_A	dus	ADV
NA	0510_1700_A	0510_1700_B	NA	ADV
dus	0510_1700_B	0510_1700_A	dus	ADV
wat	0510_1700_A	0510_1700_B	wat	PRON
is	0510_1700_A	0510_1700_B	zijn	AUX
jouw	0510_1700_A	0510_1700_B	jou	PRON
naam	0510_1700_A	0510_1700_B	naam	NOUN
sorry	0510_1700_B	0510_1700_A	sorry	INTJ
but	0510_1700_B	0510_1700_A	but	SYM
NA	0510_1700_A	0510_1700_B	NA	ADV
NA	0510_1700_B	0510_1700_A	NA	ADV
mijn	0510_1700_B	0510_1700_A	mijn	PRON
naam	0510_1700_B	0510_1700_A	naam	NOUN
is	0510_1700_B	0510_1700_A	zijn	AUX
Rob	0510_1700_B	0510_1700_A	Rob	PROPN
maar	0510_1700_B	0510_1700_A	maar	CCONJ
ik	0510_1700_B	0510_1700_A	ik	PRON
weet	0510_1700_B	0510_1700_A	weten	VERB
niet	0510_1700_B	0510_1700_A	niet	ADV
hoe	0510_1700_B	0510_1700_A	hoe	ADV
ik	0510_1700_B	0510_1700_A	ik	PRON
eigenlijk	0510_1700_B	0510_1700_A	eigenlijk	ADJ
ik	0510_1700_B	0510_1700_A	ik	PRON
kom	0510_1700_B	0510_1700_A	komen	VERB
uit	0510_1700_B	0510_1700_A	uit	ADP
het	0510_1700_B	0510_1700_A	het	DET
Verenigd	0510_1700_B	0510_1700_A	Verenigd	PROPN
Koninkrijk	0510_1700_B	0510_1700_A	koninkrijk	NOUN
en	0510_1700_B	0510_1700_A	en	CCONJ
ik	0510_1700_B	0510_1700_A	ik	PRON
wil	0510_1700_B	0510_1700_A	willen	VERB
graag	0510_1700_B	0510_1700_A	graag	ADV
in	0510_1700_B	0510_1700_A	in	ADP
in	0510_1700_B	0510_1700_A	in	ADP
Europa	0510_1700_B	0510_1700_A	Europa	PROPN
blijven	0510_1700_B	0510_1700_A	blijven	VERB
dus	0510_1700_B	0510_1700_A	dus	ADV
een	0510_1700_B	0510_1700_A	een	DET
heb	0510_1700_B	0510_1700_A	hebben	VERB
getoond	0510_1700_B	0510_1700_A	tonen	VERB
om	0510_1700_B	0510_1700_A	om	ADP
eigenlijk	0510_1700_B	0510_1700_A	eigenlijk	ADJ
van	0510_1700_B	0510_1700_A	van	ADP
het	0510_1700_B	0510_1700_A	het	DET
Verenigd	0510_1700_B	0510_1700_A	Verenigd	PROPN
Koninkrijk	0510_1700_B	0510_1700_A	koninkrijk	NOUN
naar	0510_1700_B	0510_1700_A	naar	ADP
Belgi√´	0510_1700_B	0510_1700_A	Belgi√	PROPN
te	0510_1700_B	0510_1700_A	te	ADP
te	0510_1700_B	0510_1700_A	te	ADP
verhuizen	0510_1700_B	0510_1700_A	verhuizen	VERB
dus	0510_1700_B	0510_1700_A	dus	ADV
als	0510_1700_B	0510_1700_A	als	SCONJ
ik	0510_1700_B	0510_1700_A	ik	PRON
hier	0510_1700_B	0510_1700_A	hier	ADV
kan	0510_1700_B	0510_1700_A	kunnen	AUX
blijven	0510_1700_B	0510_1700_A	blijven	VERB
voor	0510_1700_B	0510_1700_A	voor	ADP
misschien	0510_1700_B	0510_1700_A	misschien	ADV
lijk	0510_1700_B	0510_1700_A	lijk	NOUN
een	0510_1700_B	0510_1700_A	een	DET
jaar	0510_1700_B	0510_1700_A	jaar	NOUN
of	0510_1700_B	0510_1700_A	of	CCONJ
twee	0510_1700_B	0510_1700_A	twee	NUM
jaar	0510_1700_B	0510_1700_A	jaar	NOUN
dan	0510_1700_B	0510_1700_A	dan	SCONJ
kan	0510_1700_B	0510_1700_A	kunnen	AUX
ik	0510_1700_B	0510_1700_A	ik	PRON
leven	0510_1700_B	0510_1700_A	leven	NOUN
hier	0510_1700_B	0510_1700_A	hier	ADV
in	0510_1700_B	0510_1700_A	in	ADP
deze	0510_1700_B	0510_1700_A	deze	DET
hi	0510_1700_B	0510_1700_A	hi	INTJ
hier	0510_1700_B	0510_1700_A	hier	ADV
in	0510_1700_B	0510_1700_A	in	ADP
deze	0510_1700_B	0510_1700_A	deze	DET
hier	0510_1700_B	0510_1700_A	hier	ADV
blijven	0510_1700_B	0510_1700_A	blijven	VERB
dus	0510_1700_B	0510_1700_A	dus	ADV
dat	0510_1700_A	0510_1700_B	dat	SCONJ
is	0510_1700_A	0510_1700_B	zijn	AUX
wel	0510_1700_A	0510_1700_B	wel	ADV
fijn	0510_1700_A	0510_1700_B	fijn	ADJ
NA	0510_1700_B	0510_1700_A	NA	ADV
en	0510_1700_A	0510_1700_B	en	CCONJ
hoe	0510_1700_A	0510_1700_B	hoe	ADV
lang	0510_1700_A	0510_1700_B	lang	ADJ
bent	0510_1700_A	0510_1700_B	zijn	AUX
u	0510_1700_A	0510_1700_B	u	PRON
in	0510_1700_A	0510_1700_B	in	ADP
Belgi√´	0510_1700_A	0510_1700_B	Belgi√	PROPN
ik	0510_1700_B	0510_1700_A	ik	PRON
ben	0510_1700_B	0510_1700_A	zijn	AUX
hier	0510_1700_B	0510_1700_A	hier	ADV
een	0510_1700_B	0510_1700_A	een	DET
jaar	0510_1700_B	0510_1700_A	jaar	NOUN
geweest	0510_1700_B	0510_1700_A	zijn	AUX
in	0510_1700_B	0510_1700_A	in	ADP
Belgi√´	0510_1700_B	0510_1700_A	Belgi√	PROPN
dus	0510_1700_B	0510_1700_A	dus	ADV
NA	0510_1700_B	0510_1700_A	NA	ADV
dus	0510_1700_B	0510_1700_A	dus	ADV
zelf	0510_1700_A	0510_1700_B	zelf	ADV
Nederlands	0510_1700_A	0510_1700_B	Nederlands	PROPN
geleerd	0510_1700_A	0510_1700_B	leren	VERB
of	0510_1700_A	0510_1700_B	of	CCONJ
NA	0510_1700_B	0510_1700_A	NA	ADV
op	0510_1700_A	0510_1700_B	op	ADP
school	0510_1700_A	0510_1700_B	school	NOUN
wel	0510_1700_B	0510_1700_A	wel	ADV
ik	0510_1700_B	0510_1700_A	ik	PRON
had	0510_1700_B	0510_1700_A	hebben	VERB
veel	0510_1700_B	0510_1700_A	veel	PRON
nederlandstalige	0510_1700_B	0510_1700_A	Nederlandstalig	ADJ
les	0510_1700_B	0510_1700_A	les	NOUN
in	0510_1700_B	0510_1700_A	in	ADP
een	0510_1700_B	0510_1700_A	een	DET
kleine	0510_1700_B	0510_1700_A	klein	ADJ
gratise	0510_1700_B	0510_1700_A	gratise	NOUN
website	0510_1700_B	0510_1700_A	website	NOUN
I	0510_1700_B	0510_1700_A	I	PROPN
talking	0510_1700_B	0510_1700_A	talking	NOUN
je	0510_1700_B	0510_1700_A	je	PRON
kunt	0510_1700_B	0510_1700_A	kunnen	AUX
gewoon	0510_1700_B	0510_1700_A	gewoon	ADJ
een	0510_1700_B	0510_1700_A	een	DET
beetje	0510_1700_B	0510_1700_A	beetje	NOUN
geld	0510_1700_B	0510_1700_A	geld	NOUN
uitgeven	0510_1700_B	0510_1700_A	uitgeven	VERB
en	0510_1700_B	0510_1700_A	en	CCONJ
je	0510_1700_B	0510_1700_A	je	PRON
je	0510_1700_B	0510_1700_A	je	PRON
krijgt	0510_1700_B	0510_1700_A	krijgen	VERB
nederlandse	0510_1700_B	0510_1700_A	Nederlands	ADJ
les	0510_1700_B	0510_1700_A	les	NOUN
daar	0510_1700_B	0510_1700_A	daar	ADV
dus	0510_1700_B	0510_1700_A	dus	ADV
dat	0510_1700_B	0510_1700_A	dat	SCONJ
moet	0510_1700_B	0510_1700_A	moeten	AUX
je	0510_1700_B	0510_1700_A	je	PRON
in	0510_1700_B	0510_1700_A	in	ADP
een	0510_1700_B	0510_1700_A	een	DET
jaar	0510_1700_B	0510_1700_A	jaar	NOUN
en	0510_1700_B	0510_1700_A	en	CCONJ
dan	0510_1700_B	0510_1700_A	dan	SCONJ
ik	0510_1700_B	0510_1700_A	ik	PRON
werk	0510_1700_B	0510_1700_A	werk	NOUN
hier	0510_1700_B	0510_1700_A	hier	ADV
ook	0510_1700_B	0510_1700_A	ook	ADV
dus	0510_1700_B	0510_1700_A	dus	ADV
ik	0510_1700_B	0510_1700_A	ik	PRON
heb	0510_1700_B	0510_1700_A	hebben	VERB
een	0510_1700_B	0510_1700_A	een	DET
beetje	0510_1700_B	0510_1700_A	beetje	NOUN
een	0510_1700_B	0510_1700_A	een	DET
beetje	0510_1700_B	0510_1700_A	beetje	NOUN
wat	0510_1700_B	0510_1700_A	wat	PRON
met	0510_1700_B	0510_1700_A	met	ADP
mensen	0510_1700_B	0510_1700_A	mens	NOUN
te	0510_1700_B	0510_1700_A	te	ADP
praten	0510_1700_B	0510_1700_A	praten	VERB
niet	0510_1700_B	0510_1700_A	niet	ADV
zo	0510_1700_B	0510_1700_A	zo	ADV
pr	0510_1700_B	0510_1700_A	pr	NOUN
ingewikkelde	0510_1700_B	0510_1700_A	ingewikkeld	ADJ
NA	0510_1700_A	0510_1700_B	NA	ADV
NA	0510_1700_B	0510_1700_A	NA	ADV
onderwerpen	0510_1700_B	0510_1700_A	onderwerp	NOUN
of	0510_1700_B	0510_1700_A	of	CCONJ
zo	0510_1700_B	0510_1700_A	zo	ADV
maar	0510_1700_B	0510_1700_A	maar	CCONJ
gewoon	0510_1700_B	0510_1700_A	gewoon	ADJ
babbelen	0510_1700_B	0510_1700_A	babbelen	VERB
met	0510_1700_B	0510_1700_A	met	ADP
mensen	0510_1700_B	0510_1700_A	mens	NOUN
enzo	0510_1700_B	0510_1700_A	enzo	ADV
dus	0510_1700_B	0510_1700_A	dus	ADV
NA	0510_1700_A	0510_1700_B	NA	ADV
een	0510_1700_A	0510_1700_B	een	DET
groot	0510_1700_A	0510_1700_B	groot	ADJ
talent	0510_1700_A	0510_1700_B	talent	NOUN
vertalen	0510_1700_A	0510_1700_B	vertalen	VERB
dankuwel	0510_1700_B	0510_1700_A	dankuwel	NOUN
en	0510_1700_A	0510_1700_B	en	CCONJ
zeker	0510_1700_A	0510_1700_B	zeker	ADJ
Nederlands	0510_1700_A	0510_1700_B	Nederlands	PROPN
NA	0510_1700_B	0510_1700_A	NA	ADV
ik	0510_1700_B	0510_1700_A	ik	PRON
weet	0510_1700_B	0510_1700_A	weten	VERB
wel	0510_1700_B	0510_1700_A	wel	ADV
dat	0510_1700_B	0510_1700_A	dat	SCONJ
ik	0510_1700_B	0510_1700_A	ik	PRON
een	0510_1700_B	0510_1700_A	een	DET
heel	0510_1700_B	0510_1700_A	heel	ADJ
sterk	0510_1700_B	0510_1700_A	sterk	ADJ
accent	0510_1700_B	0510_1700_A	accent	NOUN
heb	0510_1700_B	0510_1700_A	hebben	VERB
en	0510_1700_B	0510_1700_A	en	CCONJ
helemaal	0510_1700_B	0510_1700_A	helemaal	ADV
niks	0510_1700_B	0510_1700_A	niks	PRON
aan	0510_1700_B	0510_1700_A	aan	ADP
u	0510_1700_B	0510_1700_A	u	PRON
maar	0510_1700_B	0510_1700_A	maar	CCONJ
ik	0510_1700_A	0510_1700_B	ik	PRON
versta	0510_1700_A	0510_1700_B	versta	VERB
versta	0510_1700_A	0510_1700_B	versta	VERB
alles	0510_1700_A	0510_1700_B	alles	PRON
NA	0510_1700_B	0510_1700_A	NA	ADV
ik	0510_1700_B	0510_1700_A	ik	PRON
vind	0510_1700_B	0510_1700_A	vinden	VERB
dat	0510_1700_B	0510_1700_A	dat	SCONJ
die	0510_1700_B	0510_1700_A	die	PRON
oudere	0510_1700_B	0510_1700_A	oud	ADJ
generatie	0510_1700_B	0510_1700_A	generatie	NOUN
die	0510_1700_B	0510_1700_A	die	PRON
hebben	0510_1700_B	0510_1700_A	hebben	AUX
veel	0510_1700_B	0510_1700_A	veel	PRON
problemen	0510_1700_B	0510_1700_A	probleem	NOUN
met	0510_1700_B	0510_1700_A	met	ADP
mij	0510_1700_B	0510_1700_A	mij	PRON
te	0510_1700_B	0510_1700_A	te	ADP
verstaan	0510_1700_B	0510_1700_A	verstaan	VERB
ik	0510_1700_B	0510_1700_A	ik	PRON
weet	0510_1700_B	0510_1700_A	weten	VERB
natuurlijk	0510_1700_B	0510_1700_A	natuurlijk	ADJ
ze	0510_1700_B	0510_1700_A	ze	PRON
zijn	0510_1700_B	0510_1700_A	zijn	AUX
niet	0510_1700_B	0510_1700_A	niet	ADV
zo	0510_1700_B	0510_1700_A	zo	ADV
gewend	0510_1700_B	0510_1700_A	wennen	ADJ
aan	0510_1700_B	0510_1700_A	aan	ADP
engelstaligen	0510_1700_B	0510_1700_A	engelstalig	NOUN
engelstalige	0510_1700_B	0510_1700_A	engelstalig	ADJ
mensen	0510_1700_B	0510_1700_A	mens	NOUN
die	0510_1700_B	0510_1700_A	die	PRON
proberen	0510_1700_B	0510_1700_A	proberen	VERB
Nederlands	0510_1700_B	0510_1700_A	Nederlands	PROPN
te	0510_1700_B	0510_1700_A	te	ADP
leren	0510_1700_B	0510_1700_A	leren	VERB
maar	0510_1700_B	0510_1700_A	maar	CCONJ
met	0510_1700_B	0510_1700_A	met	ADP
die	0510_1700_B	0510_1700_A	die	PRON
jongere	0510_1700_B	0510_1700_A	jong	ADJ
generatie	0510_1700_B	0510_1700_A	generatie	NOUN
is	0510_1700_B	0510_1700_A	zijn	AUX
dat	0510_1700_B	0510_1700_A	dat	SCONJ
een	0510_1700_B	0510_1700_A	een	DET
beetje	0510_1700_B	0510_1700_A	beetje	NOUN
makkelijker	0510_1700_B	0510_1700_A	makkelijk	ADJ
NA	0510_1700_B	0510_1700_A	NA	ADV
